Topic,Color,Message,Count,Connections,Frequency
/move_group/planning_scene_monitor/parameter_updates,"color_(224, 154, 45)",dynamic_reconfigure/Config,1,1,
/move_group/goal,"color_(124, 54, 201)",moveit_msgs/MoveGroupActionGoal,2,1,0.06849194765190728
/move_base/global_costmap/footprint,"color_(184, 114, 5)",geometry_msgs/PolygonStamped,8,1,0.3000165948510183
/move_base/local_costmap/costmap_updates,"color_(238, 168, 59)",map_msgs/OccupancyGridUpdate,20,1,1.005623555300132
/move_group/sense_for_plan/parameter_descriptions,"color_(58, 244, 135)",dynamic_reconfigure/ConfigDescription,1,1,
/map,"color_(242, 172, 63)",nav_msgs/OccupancyGrid,1,1,
/arm_1/gripper_controller/gripper_command/status,"color_(24, 210, 101)",actionlib_msgs/GoalStatusArray,133,1,5.002661571334943
/arm_moveit_client/event_out,"color_(20, 206, 97)",std_msgs/String,2,1,0.05879029829106158
/mcr_navigation/direct_base_controller/input_pose,"color_(106, 36, 183)",geometry_msgs/PoseStamped,1,1,
/move_base_wrapper/event_in,"color_(118, 48, 195)",std_msgs/String,1,1,
/dashboard_agg,"color_(170, 100, 247)",pr2_msgs/DashboardState,27,1,1.0000201467758185
/move_base/result,"color_(252, 182, 73)",move_base_msgs/MoveBaseActionResult,1,1,
/place/status,"color_(222, 152, 43)",actionlib_msgs/GoalStatusArray,133,1,4.999671004009937
/move_base/force_field_recovery/force_field_vector,"color_(142, 72, 219)",visualization_msgs/Marker,1,1,
/arm_1/gripper_controller/follow_joint_trajectory/status,"color_(68, 254, 145)",actionlib_msgs/GoalStatusArray,134,1,5.003177753814736
/move_base/global_costmap/static_layer/parameter_updates,"color_(158, 88, 235)",dynamic_reconfigure/Config,1,1,
/dashboard/platform_state,"color_(46, 232, 123)",pr2_msgs/PowerBoardState,14,1,0.49981404308933236
/move_base_safe_server/result,"color_(72, 2, 149)",mir_yb_action_msgs/GenericExecuteActionResult,1,1,
/move_group/status,"color_(112, 42, 189)",actionlib_msgs/GoalStatusArray,136,1,5.000815524534889
/amcl/parameter_updates,"color_(182, 112, 3)",dynamic_reconfigure/Config,1,1,
/move_base/global_costmap/obstacle_layer/parameter_updates,"color_(74, 4, 151)",dynamic_reconfigure/Config,1,1,
/amcl_pose,"color_(2, 188, 79)",geometry_msgs/PoseWithCovarianceStamped,81,1,9.963569331344248
/move_group/result,"color_(230, 160, 51)",moveit_msgs/MoveGroupActionResult,2,1,0.05879556853724186
/move_base_wrapper/event_out,"color_(218, 148, 39)",std_msgs/String,1,1,
/move_base/force_field_recovery/obstacle_cloud,"color_(60, 246, 137)",sensor_msgs/PointCloud2,1,1,
/tf,"color_(44, 230, 121)",tf2_msgs/TFMessage,3401,3,405.227187092411
/rosout_agg,"color_(192, 122, 13)",rosgraph_msgs/Log,93,1,262.64466639531605
/move_base_wrapper/pose_in,"color_(216, 146, 37)",geometry_msgs/PoseStamped,1,1,
/diagnostics_agg,"color_(6, 192, 83)",diagnostic_msgs/DiagnosticArray,27,1,0.9999988079085256
/move_base/local_costmap/costmap,"color_(138, 68, 215)",nav_msgs/OccupancyGrid,17,1,1.9851564226798806
/move_base/local_costmap/inflation_layer/parameter_updates,"color_(236, 166, 57)",dynamic_reconfigure/Config,1,1,
/move_base/global_costmap/inflation_layer/parameter_updates,"color_(172, 102, 249)",dynamic_reconfigure/Config,1,1,
/gripper_controller/state,"color_(26, 212, 103)",dynamixel_msgs/JointState,264,1,9.99891292946438
/hokuyo_rear_node/parameter_descriptions,"color_(214, 144, 35)",dynamic_reconfigure/ConfigDescription,1,1,
/diagnostics_toplevel_state,"color_(234, 164, 55)",diagnostic_msgs/DiagnosticStatus,26,1,1.0000066757647803
/mir_manipulation/look_at_point/event_in,"color_(54, 240, 131)",std_msgs/String,2,1,0.07024667860628499
/scan_front,"color_(76, 6, 153)",sensor_msgs/LaserScan,263,1,9.974397572454205
/cmd_vel,"color_(176, 106, 253)",geometry_msgs/Twist,184,1,11.712628560098967
/mcr_navigation/direct_base_controller/coordinator/parameter_updates,"color_(246, 176, 67)",dynamic_reconfigure/Config,2,1,0.3240627508136522
/move_base/feedback,"color_(36, 222, 113)",move_base_msgs/MoveBaseActionFeedback,140,1,9.999532721420909
/move_base/local_costmap/parameter_descriptions,"color_(240, 170, 61)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/DWAPlannerROS/global_plan,"color_(202, 132, 23)",nav_msgs/Path,42,1,9.95559944077987
/move_base/global_costmap/static_layer/parameter_descriptions,"color_(114, 44, 191)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/current_goal,"color_(198, 128, 19)",geometry_msgs/PoseStamped,1,1,
/particlecloud,"color_(0, 186, 77)",geometry_msgs/PoseArray,161,1,18.702195587422192
/tf_static,"color_(166, 96, 243)",tf2_msgs/TFMessage,1,1,
/move_base/global_costmap/inflation_layer/parameter_descriptions,"color_(34, 220, 111)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/GlobalPlannerWithOrientations/parameter_updates,"color_(104, 34, 181)",dynamic_reconfigure/Config,1,1,
/move_base/parameter_updates,"color_(30, 216, 107)",dynamic_reconfigure/Config,1,1,
/move_group/feedback,"color_(174, 104, 251)",moveit_msgs/MoveGroupActionFeedback,6,1,78.73078800165183
/move_base/force_field_recovery/obstacle_neighborhood,"color_(12, 198, 89)",visualization_msgs/Marker,1,1,
/amcl/parameter_descriptions,"color_(160, 90, 237)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base_safe_server/feedback,"color_(126, 56, 203)",mir_yb_action_msgs/GenericExecuteActionFeedback,12,1,227.58024959305482
/pickup/status,"color_(14, 200, 91)",actionlib_msgs/GoalStatusArray,135,1,5.00077676917675
/scan_combined,"color_(152, 82, 229)",sensor_msgs/LaserScan,532,2,20.156685969675852
/move_base/GlobalPlannerWithOrientations/parameter_descriptions,"color_(220, 150, 41)",dynamic_reconfigure/ConfigDescription,1,1,
/map_metadata,"color_(110, 40, 187)",nav_msgs/MapMetaData,1,1,
/move_group/display_planned_path,"color_(50, 236, 127)",moveit_msgs/DisplayTrajectory,2,1,0.05629453290856098
/hokuyo_rear_node/parameter_updates,"color_(244, 174, 65)",dynamic_reconfigure/Config,1,1,
/move_base/DWAPlannerROS/parameter_descriptions,"color_(232, 162, 53)",dynamic_reconfigure/ConfigDescription,1,1,
/pose_text,"color_(144, 74, 221)",visualization_msgs/MarkerArray,1,1,
/mir_teleop_joypad/parameter_descriptions,"color_(162, 92, 239)",dynamic_reconfigure/ConfigDescription,1,1,
/mcr_common/dynamic_reconfigure_client/event_in,"color_(136, 66, 213)",std_msgs/String,1,1,
/move_base/local_costmap/footprint,"color_(132, 62, 209)",geometry_msgs/PolygonStamped,53,1,1.999830737135009
/pregrasp_planner_node/parameter_updates,"color_(10, 196, 87)",dynamic_reconfigure/Config,1,1,
/mcr_navigation/direct_base_controller/coordinator/event_in,"color_(134, 64, 211)",std_msgs/String,2,1,0.19985406088407617
/mcr_navigation/direct_base_controller/coordinator/parameter_descriptions,"color_(42, 228, 119)",dynamic_reconfigure/ConfigDescription,1,1,
/odom,"color_(250, 180, 71)",nav_msgs/Odometry,1308,1,50.4456551807084
/move_base/global_costmap/obstacle_layer/parameter_descriptions,"color_(156, 86, 233)",dynamic_reconfigure/ConfigDescription,1,1,
/move_group/trajectory_execution/parameter_updates,"color_(164, 94, 241)",dynamic_reconfigure/Config,1,1,
/mir_teleop_joypad/parameter_updates,"color_(48, 234, 125)",dynamic_reconfigure/Config,1,1,
/diagnostics,"color_(116, 46, 193)",diagnostic_msgs/DiagnosticArray,162,6,14.712468211235246
/move_base/goal,"color_(210, 140, 31)",move_base_msgs/MoveBaseActionGoal,1,1,
/move_base/global_costmap/parameter_updates,"color_(40, 226, 117)",dynamic_reconfigure/Config,1,1,
/move_base/local_costmap/parameter_updates,"color_(8, 194, 85)",dynamic_reconfigure/Config,1,1,
/move_base/local_costmap/obstacle_layer/parameter_updates,"color_(248, 178, 69)",dynamic_reconfigure/Config,1,1,
/move_base/DWAPlannerROS/parameter_updates,"color_(150, 80, 227)",dynamic_reconfigure/Config,1,1,
/move_group/plan_execution/parameter_updates,"color_(64, 250, 141)",dynamic_reconfigure/Config,1,1,
/pregrasp_planner_node/parameter_descriptions,"color_(188, 118, 9)",dynamic_reconfigure/ConfigDescription,1,1,
/joy,"color_(204, 134, 25)",sensor_msgs/Joy,1310,1,49.65906561530629
/move_group/plan_execution/parameter_descriptions,"color_(168, 98, 245)",dynamic_reconfigure/ConfigDescription,1,1,
/move_base/parameter_descriptions,"color_(18, 204, 95)",dynamic_reconfigure/ConfigDescription,1,1,
